"About the data: Exported on Jul 02, 2023. Criteria: '""knowledge management""' in full data. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Funding,Source title,Anthology title,MeSH terms,Publication date,PubYear,Publication date (online),Publication date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
1552,pub.1133035552,10.1371/journal.pone.0242253,33259475,PMC7707476,The influence of machine learning-based knowledge management model on enterprise organizational capability innovation and industrial development,"The aims are to explore the construction of the knowledge management model for engineering cost consulting enterprises, and to expand the application of data mining techniques and machine learning methods in constructing knowledge management model. Through a questionnaire survey, the construction of the knowledge management model of construction-related enterprises and engineering cost consulting enterprises is discussed. First, through the analysis and discussion of ontology-based data mining (OBDM) algorithm and association analysis (Apriori) algorithm, a data mining algorithm (ML-AR algorithm) on account of ontology-based multilayer association and machine learning is proposed. The performance of the various algorithms is compared and analyzed. Second, based on the knowledge management level, analysis and statistics are conducted on the levels of knowledge acquisition, sharing, storage, and innovation. Finally, according to the foregoing, the knowledge management model based on engineering cost consulting enterprises is built and analyzed. The results show that the reliability coefficient of this questionnaire is above 0.8, and the average extracted value is above 0.7, verifying excellent reliability and validity. The efficiency of the ML-AR algorithm at both the number of transactions and the support level is better than the other two algorithms, which is expected to be applied to the enterprise knowledge management model. There is a positive correlation between each level of knowledge management; among them, the positive correlation between knowledge acquisition and knowledge sharing is the strongest. The enterprise knowledge management model has a positive impact on promoting organizational innovation capability and industrial development. The research work provides a direction for the development of enterprise knowledge management and the improvement of innovation ability.","(1)Major theoretical and practical issues of social science planning of Shandong Province in 2018, Study on the network effect of Airport Economic Zone in Shandong Province and the new kinetic energy of the development of air transport industry, 18CSJJ10. (2)2017 Qingdao Social Science Planning Project, Study on the industrial selection of Qingdao Jiaodong airport economic demonstration zone from the perspective of environmental constraints, QDSKL1701100. (3) Project of Natural Science Foundation of Shandong Province in 2020, Research on the behavior characteristics and management strategy of Inter Organizational Knowledge Sharing from the perspective of innovation network, 20190615.","(1)Major theoretical and practical issues of social science planning of Shandong Province in 2018, Study on the network effect of Airport Economic Zone in Shandong Province and the new kinetic energy of the development of air transport industry, 18CSJJ10. (2)2017 Qingdao Social Science Planning Project, Study on the industrial selection of Qingdao Jiaodong airport economic demonstration zone from the perspective of environmental constraints, QDSKL1701100. (3) Project of Natural Science Foundation of Shandong Province in 2020, Research on the behavior characteristics and management strategy of Inter Organizational Knowledge Sharing from the perspective of innovation network, 20190615.",PLOS ONE,,Data Mining; Efficiency; Humans; Industrial Development; Inventions; Knowledge Management; Machine Learning; Organizational Innovation,2020-12-01,2020,2020-12-01,,15,12,e0242253,All OA; Gold,Article,"Zhou, Zhigang; Liu, Yanyan; Yu, Hao; Ren, Lihua","Zhou, Zhigang (Shandong University of Science and Technology, Qingdao, Shandong, China); Liu, Yanyan (Linyi City Lanshan Economic and Information Technology Bureau, Linyi, Shandong, China); Yu, Hao (Shandong University of Science and Technology, Qingdao, Shandong, China); Ren, Lihua (Shandong University of Science and Technology, Qingdao, Shandong, China)","Zhou, Zhigang (Shandong University of Science and Technology)","Zhou, Zhigang (Shandong University of Science and Technology); Liu, Yanyan (); Yu, Hao (Shandong University of Science and Technology); Ren, Lihua (Shandong University of Science and Technology)",5,5,,1.9,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0242253&type=printable,https://app.dimensions.ai/details/publication/pub.1133035552,33 Built Environment and Design; 3302 Building; 40 Engineering; 4005 Civil Engineering; 46 Information and Computing Sciences; 4602 Artificial Intelligence; 4605 Data Management and Data Science,
1549,pub.1155251350,10.1371/journal.pone.0280482,36758008,PMC9910729,Customer knowledge management competence evaluation of agritourism enterprises by using the balanced scorecard and fuzzy-AHP: Evidence from Chengdu-Chongqing economic circle,"This paper provides an evaluation framework to explore the linking mechanisms between customer knowledge management competence (CKMC) and Balanced Scorecard (BSC). With a case study from Chengdu-Chongqing Economic Circle of China, this paper attempts to empirically justify the framework. An index system was established for evaluating CKMC based on BSC and knowledge management process, the weight design and consistency check of the indexes were implemented by using the analytic hierarchy process (AHP), and the overall evaluation value and concrete index scores at all levels were obtained via the fuzzy evaluation method. Empirical results show that CKMC performance measurement indicators were ranked in order of importance as Business process performance dimensions (0.465), System support dimensions (0.289), Customer communication dimensions (0.152) and Market performance dimension (0.094). It also shows that the overall score of CKMC was 3.404, reflecting that the CKMC was in a state of general satisfaction. This research also identifies key factors hindering implementation of CKMC, including Attention from senior leaders (2.871), customer knowledge sharing efficiency (2.928), and information technology level (3.133). This research could contribute to CKM theory by extending customer knowledge management competence research with BSC initiatively. For practitioners, this study may provide useful suggestions to identify key factors promoting business CKMC, and finally promotes sustainable development of Agritourism.",,"Social Organization Project of Chongqing Federation of Social Sciences, No.2021SZ24, Guoyi Chen Humanities and Social Sciences Research Program of Chongqing Municipal Education Commission, No.17SKG163, Guoyi Chen Humanities and Social Sciences Research Program of Chongqing Municipal Education Commission, No.17SKG155, Jiansheng Zhang Humanities and Social Sciences Research Program of Chongqing Municipal Education Commission, No.22SKGH338, Guoyi Chen Science and Technology Research Program of Chongqing Municipal Education Commission, No.KJQN202101213, Guoyi Chen Graduate Education and Teaching Reform Research Program of Chongqing Municipal Education Commission, No.yjg223131, Guoyi Chen Higher Education Teaching Reform Research Program of Chongqing Municipal Education Commission, No.223297, Guoyi Chen Higher Education Research Program of Chongqing Three Gorges University, No.GJ202210, Guoyi Chen Foundation of Intelligent Ecotourism Subject Group of Chongqing Three Gorges University, No.zhlv20221022, Wei Tan The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",PLOS ONE,,Knowledge Management; Analytic Hierarchy Process; Commerce; Information Science; Records,2023-02-09,2023,2023-02-09,,18,2,e0280482,All OA; Gold,Article,"Chen, Guoyi; Zhang, Jiansheng; Tan, Wei; Zhang, Shangmin; Yan, Bangquan","Chen, Guoyi (School of Business Management, Chongqing Three Gorges University, Wanzhou, Chongqing, China); Zhang, Jiansheng (Scientific Research Department, Chongqing Three Gorges University, Wanzhou, Chongqing, China); Tan, Wei (School of Public Management, Chongqing Three Gorges University, Wanzhou, Chongqing, China); Zhang, Shangmin (School of Business Management, Chongqing Three Gorges University, Wanzhou, Chongqing, China); Yan, Bangquan (School of Business Management, Chongqing Three Gorges University, Wanzhou, Chongqing, China)","Chen, Guoyi (Chongqing Three Gorges University)","Chen, Guoyi (Chongqing Three Gorges University); Zhang, Jiansheng (Chongqing Three Gorges University); Tan, Wei (Chongqing Three Gorges University); Zhang, Shangmin (Chongqing Three Gorges University); Yan, Bangquan (Chongqing Three Gorges University)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0280482&type=printable,https://app.dimensions.ai/details/publication/pub.1155251350,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences; 4605 Data Management and Data Science; 4609 Information Systems",
1549,pub.1128966392,10.4103/jehp.jehp_754_19,32766329,PMC7377150,Opportunities and challenges of social media for health knowledge management: A narrative review,"INTRODUCTION: Social media is becoming a new tool for developing health knowledge management. However, despite the rapid growth of research in this area, few attempts have been made to review previous research. This study tried to summarize the opportunities and challenges of using social media to managing health knowledge.
METHODOLOGY: This article used a narrative approach to collect and review studies. In this review, published documents during 2010-2019 were retrieved by search in the following three electronic scientific databases: Web of Knowledge, PubMed, and Google Scholar search engine using keywords including social media, public health, health knowledge, knowledge management, and health promotion.
RESULTS: Social media by overcoming geographical barriers, developing health promotion, facilitating decision-making, and providing public health education has been able to enhancing health awareness and improving health behavior. Doctors' unwillingness to interact with the public, lack of compliance with the principles of medical ethics, users' privacy concerns, and difficulty of managing negative comments are the four challenges to health knowledge management in social media.
CONCLUSION: Social media can be a suitable tool for developing health knowledge management processes if medical professional ethics and users' privacy managed properly.","This study is part of a dissertation for a PhD degree in medical librarianship and information sciences approved (Code: IUMS/SHMIS_1396-9321623001) in Iran University of Medical Sciences, Iran.",,Journal of Education and Health Promotion,,,2020-06-30,2020,2020-06-30,2020,9,1,144,All OA; Gold,Article,"Ghalavand, Hossein; Panahi, Sirous; Sedghi, Shahram","Ghalavand, Hossein (Department of Medical Library and Information Science, School of Health Management and Information Sciences, Iran University of Medical Sciences, Abadan, Iran; Department of Medical Library and Information Science, Abadan Faculty of Medical Sciences, Abadan); Panahi, Sirous (Department of Medical Library and Information Science, School of Health Management and Information Sciences, Iran University of Medical Sciences, Abadan, Iran; Department of Medical Library and Information Science, Health Management and Economics Research Center, School of Health Management and Information Sciences, Iran University of Medical Sciences, Tehran, Iran); Sedghi, Shahram (Department of Medical Library and Information Science, School of Health Management and Information Sciences, Iran University of Medical Sciences, Abadan, Iran; Department of Medical Library and Information Science, Health Management and Economics Research Center, School of Health Management and Information Sciences, Iran University of Medical Sciences, Tehran, Iran)","Panahi, Sirous (Iran University of Medical Sciences; Iran University of Medical Sciences)","Ghalavand, Hossein (Iran University of Medical Sciences); Panahi, Sirous (Iran University of Medical Sciences; Iran University of Medical Sciences); Sedghi, Shahram (Iran University of Medical Sciences; Iran University of Medical Sciences)",14,8,0.96,5.73,https://doi.org/10.4103/jehp.jehp_754_19,https://app.dimensions.ai/details/publication/pub.1128966392,42 Health Sciences; 4203 Health Services and Systems; 4206 Public Health,
1548,pub.1148028381,10.3389/fpsyg.2022.772668,35668977,PMC9165626,The Impact of Knowledge Management Process and Intellectual Capital on Entrepreneurial Orientation and Innovation,"Innovation is considered to be a dominant cause for sustainable business success. Knowledge management and intellectual capital are powerful tools to promote innovation in the organization. Therefore, this study aims to explore the influence of knowledge management process and intellectual capital on innovation with the mediating effect of entrepreneurial orientation and moderating role of leader education level. Data were collected from a sample of 393 IT firms listed in the Pakistan Software Houses Association and applied a partial least squares structural educational modeling (SEM) technique. The results show that the knowledge management process and intellectual capital have a positive effect on innovation. Moreover, the study confirms that entrepreneurial orientation partially mediates the relationship between knowledge management and intellectual capital on innovation. Furthermore, the moderation effect of a leader's education was confirmed for the knowledge management-innovation relationship whereas, the moderation effect of the leader's education on intellectual capital and innovation relationship was insignificant. Recommendations for practitioners and future research directions were also discussed.",,The project was funded by the China Postdoctoral Science Foundation: The comparative study on the policies and development models of entrepreneurial Universities in Northeast Asia (2021M702912).,Frontiers in Psychology,,,2022-05-20,2022,2022-05-20,,13,,772668,All OA; Gold,Article,"Yu, Qi; Aslam, Sumaira; Murad, Majid; Jiatong, Wang; Syed, Nausheen","Yu, Qi (School of Foreign Languages, Hebei University of Technology, Tianjin, China); Aslam, Sumaira (Faisalabad Business School, National Textile University, Faisalabad, Pakistan); Murad, Majid (Department of Management Sciences, Muhammad Nawaz Sharif University of Engineering and Technology, Multan, Pakistan); Jiatong, Wang (College of Teacher Education, Zhejiang Normal University, Jinhua, China); Syed, Nausheen (Department of Business Administration, Government College Women University, Faisalabad, Pakistan)","Aslam, Sumaira (National Textile University)","Yu, Qi (Hebei University of Technology); Aslam, Sumaira (National Textile University); Murad, Majid (Muhammad Nawaz Sharif University of Engineering & Technology); Jiatong, Wang (Zhejiang Normal University); Syed, Nausheen (Government College Women University Faisalabad)",4,4,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9165626,https://app.dimensions.ai/details/publication/pub.1148028381,32 Biomedical and Clinical Sciences; 52 Psychology,"4 Quality Education; 9 Industry, Innovation and Infrastructure"
1547,pub.1148726418,10.3389/fpsyg.2022.944153,35783718,PMC9244708,Implementation of Knowledge Management in Higher Education: A Comparative Study of Private and Government Universities in India and Abroad,"All academic institution contributes to the corpus of knowledge in some way. To keep expanding, the resulting information and data must be collected in a single area and shared throughout society. Knowledge developed in academic institutions is not adequately preserved or gathered, according to research. It has also been observed that the majority of the content or knowledge developed in academic institutes is unknown to the general public and is categorized as a literature review, which may be useful if proper coding is kept in the organization. The purposeful integration of humans, processes, and technology dedicated to developing, capturing, and executing an organization's creative infrastructure is known as a Knowledge Management (KM) method. Knowledge Management supports educational institutes in refining their capability to acquire and share information and knowledge, applying it to problem resolution and promoting research and continuous development. This paper advocates a holistic strategy for finding, analyzing, recording, retrieving, and distributing the whole of an administration's data properties. Databases, records, procedures, regulations and hitherto un-captured knowledge and talent in ordinary employees are samples of these properties. Higher education institutions can use KM as a tried and true approach to dealing with their problems. KM aids in the motivation of research as well as the promotion of partnerships and innovations in the future.",,,Frontiers in Psychology,,,2022-06-16,2022,2022-06-16,,13,,944153,All OA; Gold,Article,"Galgotia, Dhruv; Lakshmi, Nirupa","Galgotia, Dhruv (Department of Management Studies, Dr. A. P. J. Abdul Kalam Technical University, Lucknow, Uttar Pradesh, India); Lakshmi, Nirupa (Department of Management Studies, Galgotias College of Engineering and Technology, Uttar Pradesh, India)","Galgotia, Dhruv (Dr. A.P.J. Abdul Kalam Technical University)","Galgotia, Dhruv (Dr. A.P.J. Abdul Kalam Technical University); Lakshmi, Nirupa (Galgotias University)",2,2,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.944153/pdf,https://app.dimensions.ai/details/publication/pub.1148726418,32 Biomedical and Clinical Sciences; 52 Psychology,4 Quality Education
1547,pub.1137733729,10.1186/s12911-021-01507-9,33952240,PMC8097940,Investigate knowledge management technology implementation for supporting decision making in Ethiopian health sectors,"IntroductionKnowledge management technology is a key tool for facilitating and improving the quality of health care delivery in hospitals. However, the use and implementation of this technology is not an easy task. This study aims to investigate a knowledge management technology implementation and use in Ethiopian hospitals, with a particular reference to Jimma University Specialized Hospital.MethodologyInformation about challenges of knowledge management technology implementation was gathered using qualitative research methods, through conducting semi-structured interviews. Purposive sampling method was applied to select fifty-four participants from a well-defined population. Findings were first validated, according to published literature and research works, and then sorted into three main areas, such as current usage of KM technology to enhance and improve decision-making, factors affecting the implementation of KM technologyResultsThis study revealed that the overall level of KM technology implementation in Jimma University Specialized hospital is still low.ConclusionImplementation and use of KM technology to improve the quality of hospital health services is needed. Thus, it suggested that hospital managers should make much more effort to develop a strategy and policy on the implementation and use of KM technology so that the hospital could improve the quality of healthcare services.","We would like to thank EDMA for assisting me and Jimma University, Institute of Technology for the financial support of this study. We would also like to thank all the respondents and the healthcare organizations who participated in this study.",,BMC Medical Informatics and Decision Making,,Decision Making; Delivery of Health Care; Hospitals; Humans; Knowledge Management; Technology,2021-05-05,2021,2021-05-05,2021-12,21,1,146,All OA; Gold,Article,"Belay, Mniyichel; Desta, Amare; Smithson, Steve; Meshesha, Million","Belay, Mniyichel (Department of Information Science, Jimma University, Jimma, Ethiopia); Desta, Amare (Information and Knowledge Management, Queen Mary University of London (QMUL), London, UK); Smithson, Steve (Department of Management, London School of Economics, London, UK); Meshesha, Million (School of Information Science, Addis Ababa University, Addis Ababa, Ethiopia)","Belay, Mniyichel (Jimma University)","Belay, Mniyichel (Jimma University); Desta, Amare (Queen Mary University of London); Smithson, Steve (London School of Economics and Political Science); Meshesha, Million (Addis Ababa University)",1,1,,0.71,https://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-021-01507-9,https://app.dimensions.ai/details/publication/pub.1137733729,42 Health Sciences; 4203 Health Services and Systems,
1545,pub.1134471991,10.34171/mjiri.34.127,33437723,PMC7787024,The current understanding of knowledge management concepts: A critical review,"Background: Higher education institutions include experts who are knowledgeable. Knowledge management facilitates institutions to enhance the capacity to collect information and knowledge and apply it to problem-solving and decision making. Through the review of related studies, we observed that there are multiple concepts and terms in the field of knowledge management. Thus, the complexity and variety of these concepts and definitions must be clarified. Considering the importance of clarifying these concepts for utilization by users, this study aimed to examine the concepts related to this filed. Methods: The methodology used in this study was based on the Carnwell and Daly's critical review method. An extensive search was carried out on various databases and libraries. A critical and profound review was carried out on selected articles. Many wandering concepts were found. Identified concepts were classified into seven categories based on conceptual proximity. Existing definitions and evidence in relation to extracted concepts were criticized and synthesized. The definitional attributes for them were identified and a conceptual identity card was provided for each of the concepts. Results: Thirty-seven concepts with the most relevance to the field of knowledge management were extracted. There was no clear boundary among them, and they wandered. To avoid more confusion, concepts were classified according to semantic relation. Eight categories were created; each category consisted of a mother concept and several other concepts with similarity and proximity to the meaning of the original concept. Their attributes have been identified, and finally, each of them was presented in the form of a conceptual identity card. Conclusion: Through critically reviewing the literature in this field, we were able to identify the concepts and realize their attributes. In this way, we came to a new interpretation of the concepts. At the end of the study, we concluded that some of the concepts have not been properly defined and are not properly located in the knowledge management field; also their application is uncertain.",,,Medical Journal of the Islamic Republic of Iran,,,2020-09-28,2020,2020-09-28,,34,,127-127,Closed,Article,"Yazdani, Shahram; Bayazidi, Snor; Mafi, Amir Ali","Yazdani, Shahram (Virtual school of Medical Education and Management, Shahid Beheshti University of Medical Sciences, Tehran, Iran); Bayazidi, Snor (Virtual school of Medical Education and Management, Shahid Beheshti University of Medical Sciences, Tehran, Iran); Mafi, Amir Ali (Anesthesiology Research Center, Shahid Beheshti University of Medical Sciences, Tehran, Iran)","Bayazidi, Snor (Shahid Beheshti University of Medical Sciences)","Yazdani, Shahram (Shahid Beheshti University of Medical Sciences); Bayazidi, Snor (Shahid Beheshti University of Medical Sciences); Mafi, Amir Ali (Shahid Beheshti University of Medical Sciences)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1134471991,32 Biomedical and Clinical Sciences,
1541,pub.1148258172,10.3389/fpsyg.2022.856234,35707651,PMC9190951,Exploring the Relationship Between Organizational Culture Types and Knowledge Management Processes: A Meta-Analytic Path Analysis,"This study investigated the relationship between organizational culture types according to Competing Values Framework (Clan, Adhocracy, Market, Hierarchy) and Knowledge Management Processes (Creation, Dissemination, Storage, Application) using meta-analytic path analysis. To produce the necessary pooled correlation matrix for model testing, we used the univariate (r) approach to carry out two additional meta-analyzes. Based on data collected from several research databases, we extracted the paired correlation coefficients (r) among knowledge management processes (k = 32, N = 6835) then the inter-correlations between knowledge management processes and culture types (k = 7, N = 865). The findings revealed that no particular culture type has a stronger effect on all KM processes. Clan, Adhocracy and Market have significant but varying effects on Knowledge Management processes. Notably, the clan is more associated with knowledge creation, while Adhocracy has a greater effect on knowledge application, and market has a stronger effect on knowledge dissemination and storage. However, hierarchical culture has an insignificant effect on knowledge creation and the lowest effects on the rest of Knowledge Management processes. Therefore, the study concluded that knowledge management success is determined by developing a balanced portfolio of cultural traits from clan, adhocracy and market cultures.",,"The authors extend their appreciation to the General Directorate of Scientific Research and Technological Development (GDSRTD), Ministry of Higher Education and Scientific Research, Algeria, to fund this work.",Frontiers in Psychology,,,2022-05-30,2022,2022-05-30,,13,,856234,All OA; Gold,Article,"Aichouche, Riad; Chergui, Khalil; Brika, Said Khalfa Mokhtar; Mezher, Mohammed El; Musa, Adam; Laamari, Ahmed","Aichouche, Riad (Department of Management Sciences, Faculty of Economics, Commercial and Management Sciences, COFIFAS Laboratory, University of Oum El Bouaghi, Oum El Bouaghi, Algeria); Chergui, Khalil (Department of Management Sciences, Faculty of Economics, Commercial and Management Sciences, COFIFAS Laboratory, University of Oum El Bouaghi, Oum El Bouaghi, Algeria); Brika, Said Khalfa Mokhtar (Department of Administrative Sciences, Applied College, University of Bisha, Bisha, Saudi Arabia); Mezher, Mohammed El (Department of Administrative Sciences, Applied College, University of Bisha, Bisha, Saudi Arabia); Musa, Adam (Department of Administrative Sciences, Applied College, University of Bisha, Bisha, Saudi Arabia); Laamari, Ahmed (Faculty of Science and Arts, University of Bisha, Bisha, Saudi Arabia)","Brika, Said Khalfa Mokhtar (University of Bisha)","Aichouche, Riad (Larbi Ben M'hidi University of Oum El Bouaghi); Chergui, Khalil (Larbi Ben M'hidi University of Oum El Bouaghi); Brika, Said Khalfa Mokhtar (University of Bisha); Mezher, Mohammed El (University of Bisha); Musa, Adam (University of Bisha); Laamari, Ahmed (University of Bisha)",0,0,,,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.856234/pdf,https://app.dimensions.ai/details/publication/pub.1148258172,32 Biomedical and Clinical Sciences; 52 Psychology,
1541,pub.1144105163,10.1371/journal.pone.0261573,34937055,PMC8694422,"Knowledge management process, knowledge based innovation: Does academic researcher’s productivity mediate during the pandemic of covid-19?","Drucker's knowledge-worker productivity theory and knowledge-based view of the firm theory are widely employed in many disciplines but there is little application of these theories in knowledge-based innovation among academic researchers. Therefore, this study intends to evaluate the effects of the knowledge management process on knowledge-based innovation alongside with mediating role of Malaysian academic researchers' productivity during the Pandemic of COVID-19. Using a random sampling technique, data was collected from 382 academic researchers. Questionnaires were self-administered and data was analyzed via Smart PLS-SEM. Knowledge management process and knowledge workers' productivity have a positive and significant relationship with the knowledge-based innovation among academic researchers during the Pandemic of COVID-19. In addition, knowledge workers' productivity mediates the relationship between the knowledge management process (knowledge creation, knowledge acquisition, knowledge sharing, and knowledge utilization) and knowledge-based innovation during the Pandemic of COVID-19. Results have also directed knowledge sharing as the key factor in knowledge-based innovation and a stimulating task for management discipline around the world during the Pandemic of COVID-19. This study provides interesting insights on Malaysian academic researchers' productivity by evaluating the effects of knowledge creation, acquisition, sharing, and application on the knowledge-based innovation among academic researchers during the Pandemic of COVID-19. These useful insights would enable policymakers to develop more influential educational strategies. By assimilating the literature of defined variables, the main contribution of this study is the evaluation of knowledge creation, acquisition, sharing, and utilization into knowledge-based innovation alongside the mediating role of knowledge workers productivity in the higher education sector of Malaysia during the Pandemic of COVID-19.",,The authors received no specific funding for this work.,PLOS ONE,,COVID-19; Efficiency; Faculty; Humans; Knowledge; Knowledge Management; Malaysia; Pandemics; Research Personnel; SARS-CoV-2; Surveys and Questionnaires,2021-12-22,2021,2021-12-22,,16,12,e0261573,All OA; Gold,Article,"Rehman, Fazal ur; Ismail, Hishamuddin; Ghazali, Basheer M. Al; Asad, Muhammad Mujtaba; Shahbaz, Muhammad Saeed; Zeb, Ali","Rehman, Fazal ur (University of Lakki Marwat, Lakki Marwat, Pakistan); Ismail, Hishamuddin (Multimedia University Malaysia, Cyberjaya, Malaysia); Ghazali, Basheer M. Al (King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia); Asad, Muhammad Mujtaba (IBA Sukkar University, Sukkur, Pakistan); Shahbaz, Muhammad Saeed (SZABIST, Karachi, Pakistan); Zeb, Ali (UTHM, Parit Raja, Malaysia)","Rehman, Fazal ur (University of Lakki Marwat)","Rehman, Fazal ur (University of Lakki Marwat); Ismail, Hishamuddin (Multimedia University); Ghazali, Basheer M. Al (King Fahd University of Petroleum and Minerals); Asad, Muhammad Mujtaba (); Shahbaz, Muhammad Saeed (Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology); Zeb, Ali (Tun Hussein Onn University of Malaysia)",8,8,0.45,5.37,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261573&type=printable,https://app.dimensions.ai/details/publication/pub.1144105163,"35 Commerce, Management, Tourism and Services; 3503 Business Systems In Context; 46 Information and Computing Sciences",8 Decent Work and Economic Growth
1540,pub.1149335209,10.1371/journal.pone.0269945,35802623,PMC9269463,Intergenerational knowledge management in a cutting-edge Israeli industry: Visions and challenges,"Knowledge management is a multifaceted, complex, end-to-end organizational process dealing with collecting and using data, information, and knowledge generated by a group of individuals. The current study examines the changes required in companies' quality systems to enhance intergenerational learning and knowledge retention. Our primary objective was to understand the factors that influence the development of an organizational culture encouraging innovation, knowledge sharing, organizational learning, openness, and providing opportunities to create up-to-date knowledge. We collected the viewpoints and needs of industry professionals by using interviews and a survey. Then, we analyzed the factors that influence knowledge management quality and transfer between workforce generations. The professionals' primary goal is to introduce, integrate, and improve knowledge in their organization. Their second goal is to facilitate knowledge sharing and transfer between workforce generations. Improving transgenerational knowledge sharing and reducing the loss of knowledge are challenges for all industries. A cutting-edge industry such as the defense field deals with sensitive data, and knowledge management is a strategic need in a competitive context. Quality management standards propose guidelines for developing and enhancing the overall knowledge-related processes. However, implementing them requires a shift in the corporate culture team. Organizational knowledge resilience must be developed by involving the workforce in implementing knowledge management systems.",,The author(s) received no specific funding for this work.,PLOS ONE,,Humans; Israel; Knowledge Management; Organizational Culture; Organizational Innovation,2022-07-08,2022,2022-07-08,,17,7,e0269945,All OA; Gold,Article,"Kordova, Sigal; Or, Orly; Benis, Arriel","Kordova, Sigal (Department of Industrial Engineering and Management, Faculty of Engineering, Ariel University, Ariel, Israel); Or, Orly (Faculty of Industrial Engineering and Technology Management, HIT-Holon Institute of Technology, Holon, Israel); Benis, Arriel (Faculty of Industrial Engineering and Technology Management, HIT-Holon Institute of Technology, Holon, Israel)","Benis, Arriel (Holon Institute of Technology)","Kordova, Sigal (Ariel University); Or, Orly (Holon Institute of Technology); Benis, Arriel (Holon Institute of Technology)",0,0,,,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0269945&type=printable,https://app.dimensions.ai/details/publication/pub.1149335209,"35 Commerce, Management, Tourism and Services; 46 Information and Computing Sciences; 4609 Information Systems","9 Industry, Innovation and Infrastructure"
